iter	Passed	Remaining
132	1919	12515
133	1928	12462
134	1938	12422
135	1947	12373
136	1957	12328
137	1968	12294
138	1976	12240
139	1986	12203
140	1994	12153
141	2006	12122
142	2019	12103
143	2029	12067
144	2039	12024
145	2051	11998
146	2061	11963
147	2075	11950
148	2089	11934
149	2101	11910
150	2113	11882
151	2126	11862
152	2137	11831
153	2147	11795
154	2155	11750
155	2165	11713
156	2173	11669
157	2183	11636
158	2192	11598
159	2202	11563
160	2213	11532
161	2221	11492
162	2232	11463
163	2241	11426
164	2251	11391
165	2260	11355
166	2268	11316
167	2277	11281
168	2285	11239
169	2295	11206
170	2303	11166
171	2312	11130
172	2320	11093
173	2330	11061
174	2341	11036
175	2351	11007
176	2362	10984
177	2373	10959
178	2383	10931
179	2395	10911
180	2406	10890
181	2419	10872
182	2430	10852
183	2443	10834
184	2456	10821
185	2466	10794
186	2478	10774
187	2490	10755
188	2501	10734
189	2513	10715
190	2524	10693
191	2537	10679
192	2548	10655
193	2560	10639
194	2573	10624
195	2586	10611
196	2599	10595
197	2614	10588
198	2629	10583
199	2644	10579
200	2659	10573
201	2675	10567
202	2690	10562
203	2704	10551
204	2715	10531
205	2727	10514
206	2740	10500
207	2754	10488
208	2765	10467
209	2776	10445
210	2788	10426
211	2801	10413
212	2813	10393
213	2826	10380
214	2839	10366
215	2852	10355
216	2867	10346
217	2881	10336
218	2893	10317
219	2905	10302
220	2919	10290
221	2935	10285
222	2948	10272
223	2962	10261
224	2974	10245
225	2987	10230
226	2999	10215
227	3013	10202
228	3025	10186
229	3038	10171
230	3051	10160
231	3066	10150
232	3079	10137
233	3093	10126
234	3105	10110
235	3119	10097
236	3133	10088
237	3148	10081
238	3164	10074
239	3179	10067
240	3193	10057
241	3206	10042
242	3219	10029
243	3235	10023
244	3249	10014
245	3265	10007
246	3280	9999
247	3293	9986
248	3304	9966
249	3314	9944
250	3326	9925
251	3337	9906
252	3350	9891
253	3361	9871
254	3372	9852
255	3382	9830
256	3395	9816
257	3406	9797
258	3417	9776
259	3428	9757
260	3439	9738
261	3449	9717
262	3461	9700
263	3474	9686
264	3486	9670
265	3497	9649
266	3509	9634
267	3521	9618
268	3533	9601
269	3545	9585
270	3556	9568
271	3568	9551
272	3579	9532
273	3591	9515
274	3603	9500
275	3615	9482
276	3625	9463
277	3636	9445
278	3647	9425
279	3658	9408
280	3671	9394
281	3683	9379
282	3695	9362
283	3706	9344
284	3718	9328
285	3727	9306
286	3738	9288
287	3749	9270
288	3757	9244
289	3767	9222
290	3774	9197
291	3783	9174
292	3791	9149
293	3801	9128
294	3810	9106
295	3820	9087
296	3835	9079
297	3855	9083
298	3869	9071
299	3883	9061
300	3897	9051
301	3910	9037
302	3921	9019
303	3933	9006
304	3946	8991
305	3955	8970
306	3967	8956
307	3979	8940
308	3987	8916
309	3996	8894
310	4004	8870
311	4012	8848
312	4021	8826
313	4029	8803
314	4040	8786
315	4051	8768
316	4062	8752
317	4072	8735
318	4083	8717
319	4094	8700
320	4106	8686
321	4116	8667
322	4127	8651
323	4139	8637
324	4149	8618
325	4160	8602
326	4171	8585
327	4181	8566
328	4192	8550
329	4199	8527
330	4213	8515
331	4222	8496
332	4231	8474
333	4241	8457
334	4249	8434
335	4257	8413
336	4265	8391
337	4274	8371
338	4282	8350
339	4290	8328
340	4299	8308
341	4307	8286
342	4316	8267
343	4324	8245
344	4333	8227
345	4343	8210
346	4356	8198
347	4373	8194
348	4389	8188
349	4406	8183
350	4421	8175
351	4436	8166
352	4446	8150
353	4459	8137
354	4471	8124
355	4484	8111
356	4493	8093
357	4503	8076
358	4514	8060
359	4524	8042
360	4536	8030
361	4547	8015
362	4558	7998
363	4568	7983
364	4580	7968
365	4590	7951
366	4601	7936
367	4613	7923
368	4625	7909
369	4636	7895
370	4649	7882
371	4661	7869
372	4672	7854
373	4685	7842
374	4698	7831
375	4712	7820
376	4725	7808
377	4736	7794
378	4749	7782
379	4763	7772
380	4775	7758
381	4785	7742
382	4796	7727
383	4808	7713
384	4818	7697
385	4830	7683
386	4842	7670
387	4852	7653
388	4864	7640
389	4877	7628
390	4888	7613
391	4899	7598
392	4911	7585
393	4923	7572
394	4933	7555
395	4947	7546
396	4959	7533
397	4972	7520
398	4986	7510
399	4996	7495
400	5010	7484
401	5026	7476
402	5043	7470
403	5063	7470
404	5080	7464
405	5094	7453
406	5107	7441
407	5120	7429
408	5132	7415
409	5143	7401
410	5155	7388
411	5168	7376
412	5179	7361
413	5191	7348
414	5204	7336
415	5216	7323
416	5225	7305
417	5235	7289
418	5244	7272
419	5254	7255
420	5263	7239
421	5272	7221
422	5283	7207
423	5292	7189
424	5302	7174
425	5311	7156
426	5320	7140
427	5331	7125
428	5344	7113
429	5355	7098
430	5366	7084
431	5376	7069
432	5387	7055
433	5400	7042
434	5412	7030
435	5424	7016
436	5436	7004
437	5449	6992
438	5460	6978
439	5471	6963
440	5484	6952
441	5499	6942
442	5513	6932
443	5524	6918
444	5536	6904
445	5549	6893
446	5563	6883
447	5572	6866
448	5583	6852
449	5595	6838
450	5602	6819
451	5612	6804
452	5620	6786
453	5630	6771
454	5640	6756
455	5648	6738
456	5658	6723
457	5665	6705
458	5675	6689
459	5683	6672
460	5693	6656
461	5701	6639
462	5711	6624
463	5722	6610
464	5731	6594
465	5743	6581
466	5754	6567
467	5762	6551
468	5773	6536
469	5781	6519
470	5790	6503
471	5798	6486
472	5807	6470
473	5815	6453
474	5824	6438
475	5833	6422
476	5844	6407
477	5854	6393
478	5862	6377
479	5875	6364
480	5886	6351
481	5893	6334
482	5905	6320
483	5913	6304
484	5923	6289
485	5935	6277
486	5944	6261
487	5955	6248
488	5964	6232
489	5972	6215
490	5980	6200
491	5988	6183
492	5997	6167
493	6005	6151
494	6014	6136
495	6025	6122
496	6035	6108
497	6043	6092
498	6052	6076
499	6060	6060
500	6068	6044
501	6076	6028
502	6085	6012
503	6093	5996
504	6101	5980
505	6109	5964
506	6117	5948
507	6128	5935
508	6138	5921
509	6150	5908
510	6160	5895
511	6171	5881
512	6182	5868
513	6193	5856
514	6203	5842
515	6214	5828
516	6225	5815
517	6235	5801
518	6246	5788
519	6257	5775
520	6267	5762
521	6278	5749
522	6287	5734
523	6296	5719
524	6304	5703
525	6313	5689
526	6320	5673
527	6329	5657
528	6339	5644
529	6347	5629
530	6358	5615
531	6366	5600
532	6375	5585
533	6383	5570
534	6391	5555
535	6400	5540
536	6411	5528
537	6423	5516
538	6433	5502
539	6445	5490
540	6456	5477
541	6466	5464
542	6477	5451
543	6489	5439
544	6500	5427
545	6511	5414
546	6523	5402
547	6536	5391
548	6546	5377
549	6557	5365
550	6568	5352
551	6582	5342
552	6594	5330
553	6607	5319
554	6621	5309
555	6635	5298
556	6645	5285
557	6657	5273
558	6669	5261
559	6680	5248
560	6691	5236
561	6703	5224
562	6714	5211
563	6724	5198
564	6736	5186
565	6748	5174
566	6758	5161
567	6771	5150
568	6783	5138
569	6795	5126
570	6805	5113
571	6817	5101
572	6831	5090
573	6844	5079
574	6855	5067
575	6866	5054
576	6879	5043
577	6890	5030
578	6902	5018
579	6914	5006
580	6928	4996
581	6939	4984
582	6950	4971
583	6962	4959
584	6973	4946
585	6983	4934
586	6996	4922
587	7008	4910
588	7020	4898
589	7032	4887
590	7045	4876
591	7061	4866
592	7081	4860
593	7099	4852
594	7120	4847
595	7140	4840
596	7155	4830
597	7167	4818
598	7181	4807
599	7195	4796
600	7207	4784
601	7217	4771
602	7228	4759
603	7241	4747
604	7251	4734
605	7260	4720
606	7271	4707
607	7279	4693
608	7290	4680
609	7299	4666
610	7308	4652
611	7320	4641
612	7329	4627
613	7339	4613
614	7348	4600
615	7358	4587
616	7368	4574
617	7377	4560
618	7389	4548
619	7398	4534
620	7408	4521
621	7419	4508
622	7428	4495
623	7437	4481
624	7446	4467
625	7455	4454
626	7466	4441
627	7474	4427
628	7484	4414
629	7493	4400
630	7503	4387
631	7511	4373
632	7519	4359
633	7528	4346
634	7539	4333
635	7551	4322
636	7565	4311
637	7575	4298
638	7587	4286
639	7601	4275
640	7612	4263
641	7621	4250
642	7632	4237
643	7639	4223
644	7648	4209
645	7657	4196
646	7668	4183
647	7678	4170
648	7686	4156
649	7695	4143
650	7704	4130
651	7713	4116
652	7722	4103
653	7732	4090
654	7741	4077
655	7749	4063
656	7758	4050
657	7770	4038
658	7780	4025
659	7787	4011
660	7796	3998
661	7804	3984
662	7814	3972
663	7823	3959
664	7832	3945
665	7842	3932
666	7850	3919
667	7860	3906
668	7868	3893
669	7877	3879
670	7886	3866
671	7895	3853
672	7904	3840
673	7913	3827
674	7923	3814
675	7931	3801
676	7940	3788
677	7949	3775
678	7958	3762
679	7965	3748
680	7974	3735
681	7982	3722
682	7993	3710
683	8009	3700
684	8024	3690
685	8038	3679
686	8052	3668
687	8064	3656
688	8075	3645
689	8085	3632
690	8095	3620
691	8105	3607
692	8114	3594
693	8125	3582
694	8138	3571
695	8149	3559
696	8157	3546
697	8167	3533
698	8176	3520
699	8185	3507
700	8192	3494
701	8201	3481
702	8209	3468
703	8218	3455
704	8226	3442
705	8236	3430
706	8247	3417
707	8258	3406
708	8269	3394
709	8280	3382
710	8290	3369
711	8301	3357
712	8311	3345
713	8320	3333
714	8332	3321
715	8341	3308
716	8353	3297
717	8364	3285
718	8374	3273
719	8385	3260
720	8396	3249
721	8405	3236
722	8414	3223
723	8422	3210
724	8430	3197
725	8445	3187
726	8455	3175
727	8465	3163
728	8477	3151
729	8487	3139
730	8498	3127
731	8509	3115
732	8520	3103
733	8531	3091
734	8543	3080
735	8553	3068
736	8564	3056
737	8576	3044
738	8585	3032
739	8596	3020
740	8608	3008
741	8619	2996
742	8629	2985
743	8641	2973
744	8654	2962
745	8666	2950
746	8678	2939
747	8691	2928
748	8704	2916
749	8714	2904
750	8727	2893
751	8740	2882
752	8753	2871
753	8764	2859
754	8778	2848
755	8792	2837
756	8806	2826
757	8819	2815
758	8830	2803
759	8842	2792
760	8854	2780
761	8869	2770
762	8881	2758
763	8891	2746
764	8903	2735
765	8916	2723
766	8927	2711
767	8939	2700
768	8950	2688
769	8961	2676
770	8974	2665
771	8992	2655
772	9009	2645
773	9024	2634
774	9040	2624
775	9056	2614
776	9087	2608
777	9107	2598
778	9130	2590
779	9147	2579
780	9166	2570
781	9179	2558
782	9190	2547
783	9203	2535
784	9217	2524
785	9230	2513
786	9242	2501
787	9254	2489
788	9268	2478
789	9280	2467
790	9292	2455
791	9303	2443
792	9313	2431
793	9321	2418
794	9332	2406
795	9344	2394
796	9354	2382
797	9364	2370
798	9375	2358
799	9384	2346
800	9394	2334
801	9404	2321
802	9414	2309
803	9425	2297
804	9433	2285
805	9444	2273
806	9453	2260
807	9463	2248
808	9473	2236
809	9481	2224
810	9491	2211
811	9499	2199
812	9510	2187
813	9518	2174
814	9527	2162
815	9535	2150
816	9543	2137
817	9554	2125
818	9562	2113
819	9572	2101
820	9580	2088
821	9589	2076
822	9599	2064
823	9610	2052
824	9621	2041
825	9632	2029
826	9643	2017
827	9654	2005
828	9665	1993
829	9675	1981
830	9687	1970
831	9697	1958
832	9709	1946
833	9721	1934
834	9736	1923
835	9753	1913
836	9776	1903
837	9810	1896
838	9837	1887
839	9864	1878
840	9879	1867
841	9892	1856
842	9905	1844
843	9915	1832
844	9924	1820
845	9934	1808
846	9943	1796
847	9953	1784
848	9964	1772
849	9973	1759
850	9983	1747
851	9991	1735
852	10002	1723
853	10012	1711
854	10021	1699
855	10031	1687
856	10040	1675
857	10050	1663
858	10059	1651
859	10067	1638
860	10077	1626
861	10086	1614
862	10096	1602
863	10105	1590
864	10116	1578
865	10125	1566
866	10133	1554
867	10143	1542
868	10150	1530
869	10160	1518
870	10168	1505
871	10179	1494
872	10187	1482
873	10196	1470
874	10205	1457
875	10214	1445
876	10224	1433
877	10233	1421
878	10243	1410
879	10251	1397
880	10260	1385
881	10268	1373
882	10278	1361
883	10286	1349
884	10295	1337
885	10305	1326
886	10314	1314
887	10324	1302
888	10334	1290
889	10343	1278
890	10354	1266
891	10362	1254
892	10372	1242
893	10383	1231
894	10394	1219
895	10405	1207
896	10415	1195
897	10429	1184
898	10440	1172
899	10451	1161
900	10461	1149
901	10472	1137
902	10485	1126
903	10496	1114
904	10508	1103
905	10520	1091
906	10531	1079
907	10542	1068
908	10553	1056
909	10564	1044
910	10575	1033
911	10587	1021
912	10598	1009
913	10609	998
914	10621	986
915	10635	975
916	10648	963
917	10659	952
918	10671	940
919	10683	929
920	10695	917
921	10708	905
922	10720	894
923	10732	882
924	10745	871
925	10756	859
926	10768	848
927	10780	836
928	10792	824
929	10803	813
930	10815	801
931	10830	790
932	10844	778
933	10856	767
934	10868	755
935	10881	744
936	10893	732
937	10904	720
938	10916	709
939	10928	697
940	10941	685
941	10951	674
942	10964	662
943	10978	651
944	10990	639
945	11001	627
946	11012	616
947	11026	604
948	11036	593
949	11047	581
950	11059	569
951	11071	558
952	11082	546
953	11094	534
954	11106	523
955	11118	511
956	11130	500
957	11142	488
958	11155	476
959	11167	465
960	11179	453
961	11191	442
962	11204	430
963	11218	418
964	11229	407
965	11243	395
966	11256	384
967	11269	372
968	11279	360
969	11291	349
970	11303	337
971	11315	325
972	11324	314
973	11335	302
974	11343	290
975	11353	279
976	11365	267
977	11375	255
978	11385	244
979	11393	232
980	11403	220
981	11413	209
982	11422	197
983	11432	185
984	11440	174
985	11450	162
986	11459	150
987	11468	139
988	11476	127
989	11486	116
990	11496	104
991	11504	92
992	11513	81
993	11522	69
994	11533	57
995	11542	46
996	11550	34
997	11560	23
998	11569	11
999	11579	0
