iter	Logloss
0	0.6581051085
1	0.6296591388
2	0.6033951922
3	0.5808033292
4	0.5586015897
5	0.5373311665
6	0.5178979297
7	0.5013167816
8	0.4866953536
9	0.4702113109
10	0.4577245105
11	0.4473359552
12	0.436334081
13	0.4242971813
14	0.4124427344
15	0.4039983108
16	0.3954519677
17	0.3860392083
18	0.378191095
19	0.3713023448
20	0.3663918983
21	0.3590715384
22	0.3531202112
23	0.348232811
24	0.3429462572
25	0.3389863437
26	0.3340694003
27	0.3303685007
28	0.3265839236
29	0.323910291
30	0.3212620735
31	0.3184809251
32	0.3146887443
33	0.3119160935
34	0.3091322016
35	0.3062333854
36	0.3036436936
37	0.3013975712
38	0.2993500225
39	0.2969965169
40	0.2951575333
41	0.2933060771
42	0.2917047697
43	0.2894177194
44	0.2878492402
45	0.2862401726
46	0.2845814191
47	0.2831616157
48	0.2820304092
49	0.2805507042
50	0.279536741
51	0.2783426767
52	0.2774157481
53	0.2763035202
54	0.2753507111
55	0.274317286
56	0.2733696578
57	0.272432313
58	0.2713934803
59	0.270581208
60	0.2698069628
61	0.2687996704
62	0.2681282793
63	0.2676371216
64	0.266964174
65	0.2660847004
66	0.2645479866
67	0.2636977174
68	0.2629214527
69	0.2622339156
70	0.261397145
71	0.2609010825
72	0.260468376
73	0.2599885866
74	0.2593550446
75	0.2586984863
76	0.2575156765
77	0.2569980626
78	0.2563908045
79	0.2557214375
80	0.2552176878
81	0.2548197156
82	0.2545372426
83	0.2542421124
84	0.2533498066
85	0.2526266517
86	0.251634049
87	0.251160003
88	0.2505025564
89	0.2491414067
90	0.248743087
91	0.2482922723
92	0.2476101243
93	0.2469412905
94	0.2460926096
95	0.2454105886
96	0.2447885159
97	0.2444005334
98	0.2440491464
99	0.2432507555
100	0.242762661
101	0.2423393872
102	0.2420677607
103	0.2415242917
104	0.2412520305
105	0.2409181168
106	0.2404128846
107	0.2401246141
108	0.2396632379
109	0.2393913538
110	0.2391380761
111	0.2385845092
112	0.2381983605
113	0.2378872916
114	0.2373925551
115	0.2370153229
116	0.2362223311
117	0.2353128832
118	0.2345753859
119	0.2342429337
120	0.2339065749
121	0.2335677113
122	0.2332379314
123	0.2329408028
124	0.2324375194
125	0.2321388501
126	0.2317245328
127	0.2313996581
128	0.2303646074
129	0.2301891517
130	0.2299090571
131	0.2296072125
132	0.2292841647
133	0.2289305085
134	0.2285077844
135	0.2281333632
136	0.2279510968
137	0.2277612809
138	0.2274876448
139	0.2271976429
140	0.2267006923
141	0.2264493989
142	0.2261688125
143	0.2258762457
144	0.2256077494
145	0.2254326077
146	0.2251160151
147	0.2247793564
148	0.2245496411
149	0.2242186448
150	0.2239860176
151	0.2236816235
152	0.2234157547
153	0.2231864686
154	0.2229590973
155	0.2227215761
156	0.2225814672
157	0.2223936818
158	0.2221836321
159	0.2219754444
160	0.2213433368
161	0.2210584597
162	0.2207028867
163	0.2200755067
164	0.219833464
165	0.2195647793
166	0.2193463206
167	0.2188314831
168	0.2185794298
169	0.2183358493
170	0.2181406369
171	0.217733228
172	0.2173101249
173	0.2171156857
174	0.2167978141
175	0.2164982782
176	0.2160464359
177	0.2158245944
178	0.2155637644
179	0.2153008535
180	0.2150575813
181	0.2148084171
182	0.2145799526
183	0.214307138
184	0.214064254
185	0.2138797008
186	0.2136753856
187	0.2134374242
188	0.2132313116
189	0.2129854785
190	0.2128190219
191	0.2126805495
192	0.212503455
193	0.2121447539
194	0.2120084729
195	0.211820891
196	0.2117096385
197	0.2115366876
198	0.2112844527
199	0.2110620244
200	0.2108931591
201	0.2108011035
202	0.2105773434
203	0.2103663575
204	0.2101399525
205	0.2099823058
206	0.2097124834
207	0.209515722
208	0.20905227
209	0.2089004525
210	0.208682704
211	0.2084984857
212	0.2083089844
213	0.2081198257
214	0.2076572292
215	0.2073417528
216	0.207221524
217	0.2070348
218	0.2068190896
219	0.2067003383
220	0.206548692
221	0.2063378929
222	0.2059982734
223	0.2058381576
224	0.2055014685
225	0.2054202882
226	0.2053056059
227	0.2049522338
228	0.2047674748
229	0.2043140944
230	0.2041107738
231	0.2039934785
232	0.2038166113
233	0.203591307
234	0.2034550024
235	0.2032693931
236	0.203156621
237	0.2029640365
238	0.2028523233
239	0.2026929678
240	0.2025439601
241	0.2023063371
242	0.2021562501
243	0.2020773234
244	0.2019821599
245	0.2018740311
246	0.2017209509
247	0.2015073714
248	0.2012735228
249	0.2010952555
250	0.2008190962
251	0.2006850698
252	0.2004714682
253	0.2003111696
254	0.200188146
255	0.2000833965
256	0.1998594037
257	0.1996853728
258	0.1995373859
259	0.1994072476
260	0.1992387948
261	0.1989350168
262	0.1988227671
263	0.1987039791
264	0.1985147401
265	0.1983693567
266	0.198155368
267	0.197973695
268	0.1978434007
269	0.1976798655
270	0.197322368
271	0.1971514956
272	0.1968634572
273	0.1965598689
274	0.1963603087
275	0.1962745482
276	0.1961473154
277	0.1959774675
278	0.1958486152
279	0.195700803
280	0.1953902748
281	0.1952641135
282	0.1951276443
283	0.1950342913
284	0.1948338061
285	0.1946726258
286	0.1943094084
287	0.1940566591
288	0.1939028432
289	0.1937329886
290	0.1935862696
291	0.1934513847
292	0.1932830676
293	0.1931556694
294	0.193059164
295	0.1929302385
296	0.1927656647
297	0.1925819197
298	0.1924289132
299	0.1922379218
300	0.1920735824
301	0.1918580071
302	0.1916709781
303	0.1913821051
304	0.1912613445
305	0.1910962341
306	0.1909014531
307	0.190600438
308	0.1904965855
309	0.1904329974
310	0.1903224271
311	0.1900099437
312	0.1897830003
313	0.1896462709
314	0.1895394051
315	0.1893410878
316	0.1892318235
317	0.1891102629
318	0.188898657
319	0.1887067213
320	0.1885308662
321	0.1883125937
322	0.1881780647
323	0.1880055837
324	0.1877210051
325	0.1875452698
326	0.1874320698
327	0.1872899668
328	0.1871607552
329	0.1870216368
330	0.1868722611
331	0.1867668512
332	0.1864958736
333	0.1863930296
334	0.1862417019
335	0.1860844048
336	0.1859711284
337	0.1858314331
338	0.1856960143
339	0.1855234753
340	0.1853322969
341	0.1851120355
342	0.1849653261
343	0.184764733
344	0.1846091549
345	0.1843234329
346	0.1841182183
347	0.1840018784
348	0.1837804931
349	0.1836716135
350	0.1835957555
351	0.1833935204
352	0.1832944442
353	0.1831464297
354	0.1830054837
355	0.1827498373
356	0.1826352421
357	0.1825054375
358	0.1823882221
359	0.1822344915
360	0.1820776296
361	0.181919193
362	0.1817191728
363	0.1816080947
364	0.1814011301
365	0.1813163561
366	0.1811542959
367	0.1810083195
368	0.1808816897
369	0.1806658231
370	0.1804776679
371	0.1802825199
372	0.1801518003
373	0.1800256297
374	0.1798643597
375	0.1795996232
376	0.1794619892
377	0.1793233928
378	0.1792347247
379	0.1790929178
380	0.1789536212
381	0.1788266489
382	0.1786533495
383	0.1785962025
384	0.1784785347
385	0.1783575635
386	0.178268385
387	0.1781819812
388	0.1781013415
389	0.1779215144
390	0.1778287053
391	0.1776202199
392	0.1773943789
393	0.1772125242
394	0.177146049
395	0.1769879105
396	0.1768474647
397	0.1767180992
398	0.1766327855
399	0.1765346313
400	0.1764164072
401	0.1762805732
402	0.1761046301
403	0.1758899046
404	0.1757354947
405	0.1755654857
406	0.1754190936
407	0.1752695188
408	0.1750749449
409	0.1749120209
410	0.1748155063
411	0.174624385
412	0.1744527454
